Natural	ADJamodNOUN	language	0
and	CCONJccNOUN	methodology	48
methodology	NOUNconjNOUN	hardware	48
for	SCONJmarkVERB	ushere	48
training	NOUNcompoundNOUN	network	48
training	NOUNinCOMPOUND	training network	48
network	NOUNinCOMPOUND	training network	48
48	ABOUT	training network	48
neural	ADJamodNOUN	network	48
ushere	VERBrev_nsubjNOUN	network	48
48	ABOUT	network	48
have	AUXauxVERB	ushere	48
ushere	VERB_PREDICATE_OF	48	48
in	ADPcaseNOUN	generation	48
a	DETdetNOUN	generation	48
new	ADJamodNOUN	generation	48
ushere	VERBrev_oblNOUN	generation	48
48	ABOUT	generation	48
of	ADPcaseNOUN	network	48
large	ADJamodNOUN	network	48
network	NOUNnmodNOUN	generation	48
train	VERBaclNOUN	network	48
on	ADPcaseNOUN	data	48
abundant	ADJamodNOUN	data	48
train	VERBrev_oblNOUN	data	48
48	ABOUT	data	48
.	PUNCTpunctVERB	ushere	48
these	DETdetNOUN	model	49
obtain	VERBrev_nsubjNOUN	model	49
49	ABOUT	model	49
have	AUXauxVERB	obtain	49
obtain	VERB_PREDICATE_OF	49	49
notable	ADJamodNOUN	gain	49
obtain	VERBrev_objNOUN	gain	49
49	ABOUT	gain	49
in	ADPcaseNOUN	accuracy	49
obtain	VERBrev_oblNOUN	accuracy	49
49	ABOUT	accuracy	49
across	ADPcaseNOUN	task	49
many	ADJamodNOUN	task	49
nlp	NOUNcompoundNOUN	task	49
nlp	NOUNinCOMPOUND	nlp task	49
task	NOUNinCOMPOUND	nlp task	49
49	ABOUT	nlp task	49
obtain	VERBrev_oblNOUN	task	49
49	ABOUT	task	49
.	PUNCTpunctVERB	obtain	49
however	ADVadvmodVERB	depend	50
,	PUNCTpunctVERB	depend	50
these	DETdetNOUN	improvement	50
accuracy	NOUNcompoundNOUN	improvement	50
accuracy	NOUNinCOMPOUND	accuracy improvement	50
improvement	NOUNinCOMPOUND	accuracy improvement	50
50	ABOUT	accuracy improvement	50
depend	VERBrev_nsubjNOUN	improvement	50
50	ABOUT	improvement	50
depend	VERB_PREDICATE_OF	50	50
on	ADPcaseNOUN	availability	50
the	DETdetNOUN	availability	50
depend	VERBrev_oblNOUN	availability	50
50	ABOUT	availability	50
of	ADPcaseNOUN	resource	50
exceptionally	ADVadvmodADJ	large	50
large	ADJamodNOUN	resource	50
computational	ADJamodNOUN	resource	50
resource	NOUNnmodNOUN	availability	50
that	PRONnsubjVERB	necessitate	50
necessitate	VERBacl:relclNOUN	resource	50
similarly	ADVadvmodADJ	substantial	50
substantial	ADJamodNOUN	consumption	50
energy	NOUNcompoundNOUN	consumption	50
energy	NOUNinCOMPOUND	energy consumption	50
consumption	NOUNinCOMPOUND	energy consumption	50
50	ABOUT	energy consumption	50
necessitate	VERBrev_objNOUN	consumption	50
50	ABOUT	consumption	50
.	PUNCTpunctVERB	depend	50
as	ADPcaseNOUN	result	51
a	DETdetNOUN	result	51
costly	ADJrev_oblNOUN	result	51
51	ABOUT	result	51
these	DETdetNOUN	model	51
costly	ADJrev_nsubjNOUN	model	51
51	ABOUT	model	51
be	AUXcopADJ	costly	51
costly	ADJ_PREDICATE_OF	51	51
to	PARTmarkVERB	train	51
train	VERBxcompADJ	costly	51
and	CCONJccVERB	develop	51
develop	VERBconjVERB	train	51
,	PUNCTpunctVERB	train	51
both	CCONJcc:preconjADV	financially	51
financially	ADVadvmodVERB	train	51
,	PUNCTpunctNOUN	cost	51
due	ADPcaseNOUN	cost	51
to	ADPfixedADP	due	51
the	DETdetNOUN	cost	51
train	VERBrev_oblNOUN	cost	51
51	ABOUT	cost	51
of	ADPcaseNOUN	hardware	51
hardware	NOUNnmodNOUN	cost	51
and	CCONJccNOUN	electricity	51
electricity	NOUNconjNOUN	hardware	51
or	CCONJccNOUN	cloud	51
cloud	NOUNcompoundNOUN	compute	51
cloud	NOUNinCOMPOUND	cloud compute	51
compute	NOUNinCOMPOUND	cloud compute	51
51	ABOUT	cloud compute	51
compute	NOUNcompoundNOUN	time	51
compute	NOUNinCOMPOUND	compute time	51
time	NOUNinCOMPOUND	compute time	51
51	ABOUT	compute time	51
time	NOUNconjNOUN	hardware	51
,	PUNCTpunctADV	environmentally	51
and	CCONJccADV	environmentally	51
environmentally	ADVconjNOUN	cost	51
,	PUNCTpunctNOUN	footprint	51
due	ADPcaseNOUN	footprint	51
to	ADPfixedADP	due	51
the	DETdetNOUN	footprint	51
carbon	NOUNcompoundNOUN	footprint	51
carbon	NOUNinCOMPOUND	carbon footprint	51
footprint	NOUNinCOMPOUND	carbon footprint	51
51	ABOUT	carbon footprint	51
footprint	NOUNnmodNOUN	cost	51
require	VERBaclNOUN	footprint	51
to	PARTmarkVERB	fuel	51
fuel	VERBxcompVERB	require	51
modern	ADJamodNOUN	hardware	51
tensor	NOUNcompoundNOUN	processing	51
tensor	NOUNinCOMPOUND	tensor processing	51
processing	NOUNinCOMPOUND	tensor processing	51
51	ABOUT	tensor processing	51
processing	NOUNcompoundNOUN	hardware	51
processing	NOUNinCOMPOUND	processing hardware	51
hardware	NOUNinCOMPOUND	processing hardware	51
51	ABOUT	processing hardware	51
fuel	VERBrev_objNOUN	hardware	51
51	ABOUT	hardware	51
.	PUNCTpunctADJ	costly	51
this	DETdetNOUN	paper	52
bring	VERBrev_nsubjNOUN	paper	52
52	ABOUT	paper	52
bring	VERB_PREDICATE_OF	52	52
this	DETdetNOUN	issue	52
bring	VERBrev_objNOUN	issue	52
52	ABOUT	issue	52
to	ADPcaseNOUN	attention	52
the	DETdetNOUN	attention	52
bring	VERBrev_oblNOUN	attention	52
52	ABOUT	attention	52
of	ADPcaseNOUN	researcher	52
nlp	NOUNcompoundNOUN	researcher	52
nlp	NOUNinCOMPOUND	nlp researcher	52
researcher	NOUNinCOMPOUND	nlp researcher	52
52	ABOUT	nlp researcher	52
researcher	NOUNnmodNOUN	attention	52
by	SCONJmarkVERB	quantify	52
quantify	VERBadvclVERB	bring	52
the	DETdetNOUN	cost	52
approximate	ADJamodNOUN	cost	52
financial	ADJamodNOUN	cost	52
and	CCONJccADJ	environmental	52
environmental	ADJconjADJ	financial	52
quantify	VERBrev_objNOUN	cost	52
52	ABOUT	cost	52
of	SCONJmarkVERB	train	52
train	VERBaclNOUN	cost	52
a	DETdetNOUN	variety	52
train	VERBrev_objNOUN	variety	52
52	ABOUT	variety	52
of	ADPcaseNOUN	model	52
recently	ADVadvmodADJ	successful	52
successful	ADJamodNOUN	model	52
neural	ADJamodNOUN	model	52
network	NOUNcompoundNOUN	model	52
network	NOUNinCOMPOUND	network model	52
model	NOUNinCOMPOUND	network model	52
52	ABOUT	network model	52
model	NOUNnmodNOUN	variety	52
for	ADPcaseNOUN	nlp	52
nlp	NOUNnmodNOUN	model	52
.	PUNCTpunctVERB	bring	52
base	VERBcaseNOUN	finding	53
on	ADPcaseNOUN	finding	53
these	DETdetNOUN	finding	53
propose	VERBrev_oblNOUN	finding	53
53	ABOUT	finding	53
,	PUNCTpunctVERB	propose	53
the	DETdetNOUN	author	53
propose	VERBrev_nsubjNOUN	author	53
53	ABOUT	author	53
propose	VERB_PREDICATE_OF	53	53
actionable	ADJamodNOUN	recommendation	53
propose	VERBrev_objNOUN	recommendation	53
53	ABOUT	recommendation	53
to	PARTmarkVERB	reduce	53
reduce	VERBaclNOUN	recommendation	53
reduce	VERBrev_objNOUN	cost	53
53	ABOUT	cost	53
and	CCONJccVERB	improve	53
improve	VERBconjVERB	reduce	53
improve	VERBrev_objNOUN	equity	53
53	ABOUT	equity	53
in	ADPcaseNOUN	research	53
nlp	NOUNcompoundNOUN	research	53
nlp	NOUNinCOMPOUND	nlp research	53
research	NOUNinCOMPOUND	nlp research	53
53	ABOUT	nlp research	53
improve	VERBrev_oblNOUN	research	53
53	ABOUT	research	53
and	CCONJccNOUN	practice	53
practice	NOUNconjNOUN	research	53
.	PUNCTpunctVERB	propose	53
recent	ADJamodNOUN	advance	54
advance	NOUN_PREDICATE_OF	54	54
in	ADPcaseNOUN	nlp	54
conversational	ADJamodNOUN	nlp	54
nlp	NOUNnmodNOUN	advance	54
:	PUNCTpunctNOUN	advance	54
towards	ADPcaseNOUN	standardization	55
the	DETdetNOUN	standardization	55
become	VERBrev_oblNOUN	standardization	55
55	ABOUT	standardization	55
of	ADPcaseNOUN	system	55
chatbot	NOUNcompoundNOUN	building	55
chatbot	NOUNinCOMPOUND	chatbot building	55
building	NOUNinCOMPOUND	chatbot building	55
55	ABOUT	chatbot building	55
building	NOUNcompoundNOUN	dialogue	55
building	NOUNinCOMPOUND	building dialogue	55
dialogue	NOUNinCOMPOUND	building dialogue	55
55	ABOUT	building dialogue	55
dialogue	NOUNcompoundNOUN	system	55
dialogue	NOUNinCOMPOUND	dialogue system	55
system	NOUNinCOMPOUND	dialogue system	55
55	ABOUT	dialogue system	55
system	NOUNnmodNOUN	standardization	55
have	AUXauxVERB	become	55
become	VERB_PREDICATE_OF	55	55
recently	ADVadvmodADJ	essential	55
essential	ADJxcompVERB	become	55
in	ADPcaseNOUN	life	55
we	PRONnmod:possNOUN	life	55
essential	ADJrev_oblNOUN	life	55
55	ABOUT	life	55
.	PUNCTpunctADJ	essential	55
they	PRONnmod:possNOUN	use	56
get	VERBrev_nsubjNOUN	use	56
56	ABOUT	use	56
be	AUXauxVERB	get	56
get	VERB_PREDICATE_OF	56	56
more	ADJobjVERB	get	56
and	CCONJccNOUN	fluid	56
more	ADVadvmodNOUN	fluid	56
fluid	NOUNconjADJ	more	56
and	CCONJccADJ	easy	56
easy	ADJconjADJ	more	56
throughout	ADPcaseNOUN	time	56
the	DETdetNOUN	time	56
easy	ADJrev_oblNOUN	time	56
56	ABOUT	time	56
.	PUNCTpunctVERB	get	56
this	PRONnsubjVERB	boil	57
boil	VERB_PREDICATE_OF	57	57
down	ADPcompound:prtVERB	boil	57
to	ADPcaseNOUN	improvement	57
the	DETdetNOUN	improvement	57
boil	VERBrev_oblNOUN	improvement	57
57	ABOUT	improvement	57
make	VERBaclNOUN	improvement	57
in	ADPcaseNOUN	field	57
nlp	NOUNcompoundNOUN	field	57
nlp	NOUNinCOMPOUND	nlp field	57
field	NOUNinCOMPOUND	nlp field	57
57	ABOUT	nlp field	57
and	CCONJccNOUN	ai	57
ai	NOUNconjNOUN	nlp	57
make	VERBrev_oblNOUN	field	57
57	ABOUT	field	57
.	PUNCTpunctVERB	boil	57
this	DETdetNOUN	paper	58
try	VERBrev_nsubjNOUN	paper	58
58	ABOUT	paper	58
try	VERB_PREDICATE_OF	58	58
to	PARTmarkVERB	provide	58
provide	VERBxcompVERB	try	58
a	DETdetNOUN	overview	58
provide	VERBrev_objNOUN	overview	58
58	ABOUT	overview	58
to	ADPcaseNOUN	state	58
the	DETdetNOUN	state	58
current	ADJamodNOUN	state	58
state	NOUNnmodNOUN	overview	58
of	ADPcaseNOUN	art	58
the	DETdetNOUN	art	58
art	NOUNnmodNOUN	state	58
of	ADPcaseNOUN	system	58
dialogue	NOUNcompoundNOUN	system	58
dialogue	NOUNinCOMPOUND	dialogue system	58
system	NOUNinCOMPOUND	dialogue system	58
58	ABOUT	dialogue system	58
system	NOUNnmodNOUN	art	58
,	PUNCTpunctNOUN	category	58
they	PRONnmod:possNOUN	category	58
category	NOUNconjNOUN	state	58
and	CCONJccNOUN	approach	58
the	DETdetNOUN	approach	58
different	ADJamodNOUN	approach	58
approach	NOUNconjNOUN	category	58
to	PARTmarkVERB	build	58
build	VERBaclNOUN	approach	58
they	PRONobjVERB	build	58
.	PUNCTpunctVERB	try	58
it	PRONnsubjVERB	end	59
end	VERB_PREDICATE_OF	59	59
up	ADPcompound:prtVERB	end	59
with	ADPcaseNOUN	discussion	59
a	DETdetNOUN	discussion	59
end	VERBrev_oblNOUN	discussion	59
59	ABOUT	discussion	59
that	PRONnsubjVERB	compare	59
compare	VERBacl:relclNOUN	discussion	59
all	DETdet:predetNOUN	technique	59
the	DETdetNOUN	technique	59
compare	VERBrev_objNOUN	technique	59
59	ABOUT	technique	59
and	CCONJccVERB	analyze	59
analyze	VERBconjVERB	compare	59
the	DETdetNOUN	strength	59
analyze	VERBrev_objNOUN	strength	59
59	ABOUT	strength	59
and	CCONJccNOUN	weakness	59
weakness	NOUNconjNOUN	strength	59
of	ADPcaseDET	each	59
each	DETnmodNOUN	strength	59
.	PUNCTpunctVERB	end	59
finally	ADVadvmodVERB	present	60
,	PUNCTpunctVERB	present	60
the	DETdetNOUN	author	60
present	VERBrev_nsubjNOUN	author	60
60	ABOUT	author	60
present	VERB_PREDICATE_OF	60	60
a	DETdetNOUN	piece	60
opinion	NOUNcompoundNOUN	piece	60
opinion	NOUNinCOMPOUND	opinion piece	60
piece	NOUNinCOMPOUND	opinion piece	60
60	ABOUT	opinion piece	60
present	VERBrev_objNOUN	piece	60
60	ABOUT	piece	60
suggest	VERBaclNOUN	piece	60
to	PARTmarkVERB	orientate	60
orientate	VERBxcompVERB	suggest	60
the	DETdetNOUN	research	60
orientate	VERBrev_objNOUN	research	60
60	ABOUT	research	60
towards	ADPcaseNOUN	standardization	60
the	DETdetNOUN	standardization	60
orientate	VERBrev_oblNOUN	standardization	60
60	ABOUT	standardization	60
of	ADPcaseNOUN	building	60
dialogue	NOUNcompoundNOUN	system	60
dialogue	NOUNinCOMPOUND	dialogue system	60
system	NOUNinCOMPOUND	dialogue system	60
60	ABOUT	dialogue system	60
system	NOUNcompoundNOUN	building	60
system	NOUNinCOMPOUND	system building	60
building	NOUNinCOMPOUND	system building	60
60	ABOUT	system building	60
building	NOUNnmodNOUN	standardization	60
.	PUNCTpunctVERB	present	60
be	AUXcopNOUN	time	61
it	PRONnsubjNOUN	time	61
time	NOUN_PREDICATE_OF	61	61
to	PARTmarkVERB	swish	61
swish	VERBaclNOUN	time	61
?	PUNCTpunctNOUN	time	61
compare	VERBcsubjVERB	play	62
deep	ADJamodVERB	learn	62
learn	VERBamodNOUN	function	62
activation	NOUNcompoundNOUN	function	62
activation	NOUNinCOMPOUND	activation function	62
function	NOUNinCOMPOUND	activation function	62
62	ABOUT	activation function	62
compare	VERBrev_objNOUN	function	62
62	ABOUT	function	62
across	ADPcaseNOUN	function	62
nlp	NOUNcompoundNOUN	task	62
nlp	NOUNinCOMPOUND	nlp task	62
task	NOUNinCOMPOUND	nlp task	62
62	ABOUT	nlp task	62
task	NOUNcompoundNOUN	function	62
task	NOUNinCOMPOUND	task function	62
function	NOUNinCOMPOUND	task function	62
62	ABOUT	task function	62
activation	NOUNcompoundNOUN	function	62
activation	NOUNinCOMPOUND	activation function	62
function	NOUNinCOMPOUND	activation function	62
62	ABOUT	activation function	62
function	NOUNnmodNOUN	function	62
play	VERB_PREDICATE_OF	62	62
a	DETdetNOUN	role	62
crucial	ADJamodNOUN	role	62
play	VERBrev_objNOUN	role	62
62	ABOUT	role	62
in	ADPcaseNOUN	network	62
neural	ADJamodNOUN	network	62
network	NOUNnmodNOUN	role	62
because	SCONJmarkNOUN	nonlinearity	62
they	PRONnsubjNOUN	nonlinearity	62
be	AUXcopNOUN	nonlinearity	62
the	DETdetNOUN	nonlinearity	62
nonlinearity	NOUNadvclVERB	play	62
which	PRONnsubj:passVERB	attribute	62
have	AUXauxVERB	attribute	62
be	AUXaux:passVERB	attribute	62
attribute	VERBacl:relclNOUN	nonlinearity	62
to	ADPcaseNOUN	story	62
the	DETdetNOUN	story	62
success	NOUNcompoundNOUN	story	62
success	NOUNinCOMPOUND	success story	62
story	NOUNinCOMPOUND	success story	62
62	ABOUT	success story	62
attribute	VERBrev_oblNOUN	story	62
62	ABOUT	story	62
of	ADPcaseNOUN	learning	62
deep	ADJamodNOUN	learning	62
learning	NOUNnmodNOUN	story	62
.	PUNCTpunctVERB	play	62
one	NUMnsubjPROPN	ReLU	63
of	ADPcaseNOUN	function	63
the	DETdetNOUN	function	63
currently	ADVadvmodADJ	popular	63
most	ADVadvmodADJ	popular	63
popular	ADJamodNOUN	function	63
activation	NOUNcompoundNOUN	function	63
activation	NOUNinCOMPOUND	activation function	63
function	NOUNinCOMPOUND	activation function	63
63	ABOUT	activation function	63
function	NOUNnmodNUM	one	63
be	AUXcopPROPN	ReLU	63
ReLU	PROPN_PREDICATE_OF	63	63
,	PUNCTpunctVERB	propose	63
but	CCONJccVERB	propose	63
several	ADJamodNOUN	competitor	63
propose	VERBrev_nsubj:passNOUN	competitor	63
63	ABOUT	competitor	63
have	AUXauxVERB	propose	63
recently	ADVadvmodVERB	propose	63
be	AUXaux:passVERB	propose	63
propose	VERBconjPROPN	ReLU	63
or	CCONJccVERB	discover	63
'	PUNCTpunctVERB	discover	63
discover	VERBconjVERB	propose	63
'	PUNCTpunctVERB	discover	63
,	PUNCTpunctVERB	discover	63
include	VERBcaseNOUN	function	63
lrelu	NOUNcompoundNOUN	function	63
lrelu	NOUNinCOMPOUND	lrelu function	63
function	NOUNinCOMPOUND	lrelu function	63
63	ABOUT	lrelu function	63
discover	VERBrev_oblNOUN	function	63
63	ABOUT	function	63
and	CCONJccNOUN	swish	63
swish	NOUNconjNOUN	function	63
.	PUNCTpunctPROPN	ReLU	63
while	SCONJmarkVERB	compare	64
most	ADJamodNOUN	work	64
compare	VERBrev_nsubjNOUN	work	64
64	ABOUT	work	64
compare	VERBadvclVERB	perform	64
newly	ADVadvmodVERB	propose	64
propose	VERBamodNOUN	function	64
activation	NOUNcompoundNOUN	function	64
activation	NOUNinCOMPOUND	activation function	64
function	NOUNinCOMPOUND	activation function	64
64	ABOUT	activation function	64
compare	VERBrev_objNOUN	function	64
64	ABOUT	function	64
on	ADPcaseNOUN	task	64
few	ADJamodNOUN	task	64
task	NOUNnmodNOUN	function	64
(	PUNCTpunctNOUN	classification	64
usually	ADVadvmodNOUN	classification	64
from	ADPcaseNOUN	classification	64
image	NOUNcompoundNOUN	classification	64
image	NOUNinCOMPOUND	image classification	64
classification	NOUNinCOMPOUND	image classification	64
64	ABOUT	image classification	64
classification	NOUNnmodNOUN	task	64
)	PUNCTpunctNOUN	classification	64
and	CCONJccNOUN	competitor	64
against	ADPcaseNOUN	competitor	64
few	ADJamodNOUN	competitor	64
competitor	NOUNconjNOUN	function	64
(	PUNCTpunctPROPN	ReLU	64
usually	ADVadvmodPROPN	ReLU	64
ReLU	PROPNapposNOUN	competitor	64
)	PUNCTpunctPROPN	ReLU	64
,	PUNCTpunctVERB	perform	64
this	DETdetNOUN	paper	64
perform	VERBrev_nsubjNOUN	paper	64
64	ABOUT	paper	64
perform	VERB_PREDICATE_OF	64	64
the	DETdetNOUN	comparison	64
first	ADJamodNOUN	comparison	64
large	ADJamodNOUN	scale	64
-	PUNCTpunctNOUN	scale	64
scale	NOUNcompoundNOUN	comparison	64
scale	NOUNinCOMPOUND	scale comparison	64
comparison	NOUNinCOMPOUND	scale comparison	64
64	ABOUT	scale comparison	64
perform	VERBrev_objNOUN	comparison	64
64	ABOUT	comparison	64
of	ADPcaseNOUN	function	64
21	NUMnummodNOUN	function	64
activation	NOUNcompoundNOUN	function	64
activation	NOUNinCOMPOUND	activation function	64
function	NOUNinCOMPOUND	activation function	64
64	ABOUT	activation function	64
function	NOUNnmodNOUN	comparison	64
across	ADPcaseNOUN	task	64
eight	NUMnummodNOUN	task	64
different	ADJamodNOUN	task	64
nlp	NOUNcompoundNOUN	task	64
nlp	NOUNinCOMPOUND	nlp task	64
task	NOUNinCOMPOUND	nlp task	64
64	ABOUT	nlp task	64
task	NOUNnmodNOUN	function	64
.	PUNCTpunctVERB	perform	64
the	DETdetNOUN	author	65
find	VERBrev_nsubjNOUN	author	65
65	ABOUT	author	65
find	VERB_PREDICATE_OF	65	65
that	SCONJmarkVERB	perform	65
a	DETdetNOUN	function	65
largely	ADVadvmodADJ	unknown	65
unknown	ADJamodNOUN	function	65
activation	NOUNcompoundNOUN	function	65
activation	NOUNinCOMPOUND	activation function	65
function	NOUNinCOMPOUND	activation function	65
65	ABOUT	activation function	65
perform	VERBrev_nsubjNOUN	function	65
65	ABOUT	function	65
perform	VERBccompVERB	find	65
most	ADVadvmodADV	stably	65
stably	ADVadvmodVERB	perform	65
across	ADPcaseNOUN	task	65
all	DETdetNOUN	task	65
perform	VERBrev_oblNOUN	task	65
65	ABOUT	task	65
,	PUNCTpunctNOUN	task	65
the	DETdetNOUN	function	65
so	ADVadvmodVERB	call	65
-	PUNCTpunctVERB	call	65
call	VERBamodNOUN	function	65
penalize	VERBamodNOUN	function	65
tanh	NOUNcompoundNOUN	function	65
tanh	NOUNinCOMPOUND	tanh function	65
function	NOUNinCOMPOUND	tanh function	65
65	ABOUT	tanh function	65
function	NOUNapposNOUN	task	65
.	PUNCTpunctVERB	find	65
additionally	ADVadvmodVERB	replace	66
,	PUNCTpunctVERB	replace	66
it	PRONnsubjVERB	replace	66
can	AUXauxVERB	replace	66
successfully	ADVadvmodVERB	replace	66
replace	VERB_PREDICATE_OF	66	66
the	DETdetNOUN	gate	66
sigmoid	NOUNcompoundNOUN	gate	66
sigmoid	NOUNinCOMPOUND	sigmoid gate	66
gate	NOUNinCOMPOUND	sigmoid gate	66
66	ABOUT	sigmoid gate	66
and	CCONJccNOUN	tanh	66
tanh	NOUNconjNOUN	sigmoid	66
replace	VERBrev_objNOUN	gate	66
66	ABOUT	gate	66
in	ADPcaseNOUN	cell	66
lstm	NOUNcompoundNOUN	cell	66
lstm	NOUNinCOMPOUND	lstm cell	66
cell	NOUNinCOMPOUND	lstm cell	66
66	ABOUT	lstm cell	66
replace	VERBrev_oblNOUN	cell	66
66	ABOUT	cell	66
,	PUNCTpunctVERB	replace	66
lead	VERBadvclVERB	replace	66
to	ADPcaseNOUN	point	66
a	DETdetNOUN	point	66
2	NUMnummodNOUN	point	66
percentage	NOUNcompoundNOUN	point	66
percentage	NOUNinCOMPOUND	percentage point	66
point	NOUNinCOMPOUND	percentage point	66
66	ABOUT	percentage point	66
lead	VERBrev_oblNOUN	point	66
66	ABOUT	point	66
(	PUNCTpunctNOUN	pp	66
pp	NOUNapposNOUN	point	66
)	PUNCTpunctNOUN	pp	66
lead	VERBrev_objNOUN	improvement	66
66	ABOUT	improvement	66
over	ADPcaseNOUN	choice	66
the	DETdetNOUN	choice	66
standard	ADJamodNOUN	choice	66
lead	VERBrev_oblNOUN	choice	66
66	ABOUT	choice	66
on	ADPcaseNOUN	task	66
a	DETdetNOUN	task	66
challenging	ADJamodNOUN	task	66
nlp	NOUNcompoundNOUN	task	66
nlp	NOUNinCOMPOUND	nlp task	66
task	NOUNinCOMPOUND	nlp task	66
66	ABOUT	nlp task	66
task	NOUNnmodNOUN	choice	66
.	PUNCTpunctVERB	replace	66
a	DETdetNOUN	Strategy	67
Just	PROPNcompoundNOUN	Strategy	67
Just	PROPNinCOMPOUND	Just Strategy	67
Strategy	NOUNinCOMPOUND	Just Strategy	67
67	ABOUT	Just Strategy	67
and	CCONJccADJ	comprehensive	67
comprehensive	ADJconjPROPN	Just	67
affect	VERBrev_nsubjNOUN	Strategy	67
67	ABOUT	Strategy	67
for	SCONJmarkVERB	use	67
use	VERBaclNOUN	Strategy	67
use	VERBrev_objNOUN	nlp	67
67	ABOUT	nlp	67
to	PARTmarkVERB	address	67
address	VERBadvclVERB	use	67
Online	ADJamodNOUN	abuse	67
abuse	NOUNcompoundNOUN	behavior	67
abuse	NOUNinCOMPOUND	abuse behavior	67
behavior	NOUNinCOMPOUND	abuse behavior	67
67	ABOUT	abuse behavior	67
Online	ADJamodNOUN	behavior	67
abusive	ADJamodNOUN	behavior	67
address	VERBrev_objNOUN	behavior	67
67	ABOUT	behavior	67
affect	VERB_PREDICATE_OF	67	67
affect	VERBrev_objNOUN	million	67
67	ABOUT	million	67
and	CCONJccVERB	attempt	67
the	DETdetNOUN	community	67
nlp	NOUNcompoundNOUN	community	67
nlp	NOUNinCOMPOUND	nlp community	67
community	NOUNinCOMPOUND	nlp community	67
67	ABOUT	nlp community	67
attempt	VERBrev_nsubjNOUN	community	67
67	ABOUT	community	67
have	AUXauxVERB	attempt	67
attempt	VERBconjVERB	affect	67
to	PARTmarkVERB	mitigate	67
mitigate	VERBxcompVERB	attempt	67
this	DETdetNOUN	problem	67
mitigate	VERBrev_objNOUN	problem	67
67	ABOUT	problem	67
by	SCONJmarkVERB	develop	67
develop	VERBadvclVERB	mitigate	67
develop	VERBrev_objNOUN	technology	67
67	ABOUT	technology	67
to	PARTmarkVERB	detect	67
detect	VERBxcompVERB	develop	67
detect	VERBrev_objNOUN	abuse	67
67	ABOUT	abuse	67
.	PUNCTpunctVERB	affect	67
however	ADVadvmodVERB	focus	68
,	PUNCTpunctVERB	focus	68
current	ADJamodNOUN	method	68
focus	VERBrev_nsubjNOUN	method	68
68	ABOUT	method	68
have	AUXauxVERB	focus	68
largely	ADVadvmodVERB	focus	68
focus	VERB_PREDICATE_OF	68	68
on	ADPcaseNOUN	definition	68
a	DETdetNOUN	definition	68
narrow	ADJamodNOUN	definition	68
focus	VERBrev_oblNOUN	definition	68
68	ABOUT	definition	68
of	ADPcaseNOUN	abuse	68
abuse	NOUNnmodNOUN	definition	68
to	ADPcaseNOUN	detriment	68
detriment	NOUNnmodNOUN	definition	68
of	ADPcaseNOUN	victim	68
victim	NOUNnmodNOUN	detriment	68
who	PRONnsubjVERB	seek	68
seek	VERBacl:relclNOUN	victim	68
both	CCONJcc:preconjNOUN	validation	68
seek	VERBrev_objNOUN	validation	68
68	ABOUT	validation	68
and	CCONJccNOUN	solution	68
solution	NOUNconjNOUN	validation	68
.	PUNCTpunctVERB	focus	68
this	DETdetNOUN	paper	69
position	NOUNcompoundNOUN	paper	69
position	NOUNinCOMPOUND	position paper	69
paper	NOUNinCOMPOUND	position paper	69
69	ABOUT	position paper	69
argue	VERBrev_nsubjNOUN	paper	69
69	ABOUT	paper	69
argue	VERB_PREDICATE_OF	69	69
that	SCONJmarkVERB	need	69
the	DETdetNOUN	community	69
need	VERBrev_nsubjNOUN	community	69
69	ABOUT	community	69
need	VERBccompVERB	argue	69
to	PARTmarkVERB	make	69
make	VERBxcompVERB	need	69
three	NUMnummodNOUN	change	69
substantive	ADJamodNOUN	change	69
make	VERBrev_objNOUN	change	69
69	ABOUT	change	69
:	PUNCTpunctNOUN	change	69
(	PUNCTpunctX	1	69
1	XnummodVERB	expand	69
)	PUNCTpunctX	1	69
expand	VERBadvclVERB	make	69
we	PRONnmod:possNOUN	scope	69
expand	VERBrev_objNOUN	scope	69
69	ABOUT	scope	69
of	ADPcaseNOUN	problem	69
problem	NOUNnmodNOUN	scope	69
to	PARTmarkVERB	tackle	69
tackle	VERBaclNOUN	problem	69
both	DETdetNOUN	form	69
more	ADVadvmodADJ	subtle	69
subtle	ADJamodNOUN	form	69
and	CCONJccADJ	serious	69
more	ADVadvmodADJ	serious	69
serious	ADJconjADJ	subtle	69
tackle	VERBrev_objNOUN	form	69
69	ABOUT	form	69
of	ADPcaseNOUN	abuse	69
abuse	NOUNnmodNOUN	form	69
,	PUNCTpunctVERB	develop	69
(	PUNCTpunctX	2	69
2	XnummodVERB	develop	69
)	PUNCTpunctX	2	69
develop	VERBadvclVERB	tackle	69
proactive	ADJamodNOUN	technology	69
develop	VERBrev_objNOUN	technology	69
69	ABOUT	technology	69
that	PRONnsubjVERB	counter	69
counter	VERBacl:relclNOUN	technology	69
or	CCONJccVERB	inhibit	69
inhibit	VERBconjVERB	counter	69
counter	VERBrev_objNOUN	abuse	69
69	ABOUT	abuse	69
before	SCONJmarkVERB	harm	69
it	PRONnsubjVERB	harm	69
harm	VERBadvclVERB	counter	69
,	PUNCTpunctVERB	reframe	69
and	CCONJccVERB	reframe	69
(	PUNCTpunctX	3	69
3	XnummodVERB	reframe	69
)	PUNCTpunctX	3	69
reframe	VERBconjVERB	harm	69
